agent_id,agent_name,month,day,tenure_months,call_type,aht_sec,csat_score,qa_audit_score,resolution_status
AGT-024,James Reddy,July-2026,7,9,Inbound,301.0,4.2,70.8,Resolved
AGT-021,Ananya Gupta,February-2026,7,9,Inbound,265.8,,80.4,Unresolved
AGT-024,James Reddy,June-2026,19,8,Inbound,265.2,3.9,,Pending
AGT-017,Neha Sharma,February-2026,3,0,Inbound,269.9,1.1,74.8,Unresolved
AGT-006,Arjun Nair,April-2026,15,20,Inbound,203.7,4.6,100.0,Resolved
AGT-001,Arjun Jenkins,March-2026,3,17,Inbound,297.3,4.5,89.7,Resolved
AGT-001,Arjun Jenkins,July-2026,7,21,Inbound,227.3,4.5,95.3,Resolved
AGT-008,Kavya Gupta,March-2026,23,9,Inbound,232.8,4.0,86.2,Resolved
AGT-007,Rahul Iyer,May-2026,12,27,Inbound,287.1,4.5,100.0,Resolved
AGT-016, Ananya Verma ,July-2026,23,22,Inbound,317.4,3.9,93.8,Resolved
AGT-003,Sarah Reddy,March-2026,11,23,Inbound,281.3,4.3,100.0,Resolved
AGT-011,David Chang,February-2026,15,9,Inbound,316.6,3.4,83.7,Unresolved
AGT-022,Michael Iyer,July-2026,25,24,Inbound,208.4,3.3,100.0,Resolved
AGT-006,Arjun Nair,February-2026,25,18,Inbound,275.9,3.4,98.6,Pending
AGT-018,Sarah Iyer,March-2026,11,24,Inbound,287.6,5.0,89.6,Resolved
AGT-004,Priya Nair,May-2026,16,7,Inbound,315.1,4.0,90.4,Pending
AGT-020,Rahul Sharma,May-2026,19,12,Inbound,299.3,4.7,88.1,Unresolved
AGT-019,Kavya Gupta,May-2026,22,26,Inbound,215.9,3.8,97.3,Resolved
AGT-003,Sarah Reddy,March-2026,4,23,INBOUND,295.1,4.4,88.4,Unresolved
AGT-023,Michael Wilson,May-2026,18,20,Inbound,289.5,5.0,86.6,Resolved
AGT-006,Arjun Nair,June-2026,20,22,Inbound,222.5,3.5,90.9,Resolved
AGT-006,Arjun Nair,April-2026,22,20,Inbound,235.9,5.0,93.8,Resolved
AGT-020,Rahul Sharma,March-2026,14,10,Inbound,252.9,3.7,72.5,Pending
AGT-003,Sarah Reddy,June-2026,20,26,Inbound,326.9,4.9,96.5,Escalated
AGT-012,Kavya Jenkins,May-2026,18,19,Inbound,256.0,4.6,100.0,Resolved
AGT-002,Arjun Sharma,May-2026,3,22,Inbound,358.2,5.0,95.0,Resolved
AGT-015,Arjun Nair,June-2026,7,13,Inbound,309.4,3.8,80.9,Resolved
AGT-020,Rahul Sharma,May-2026,17,12,Inbound,259.8,4.5,86.1,Resolved
AGT-014,Priya Iyer,June-2026,21,22,Inbound,208.0,4.0,99.1,Resolved
AGT-024,James Reddy,February-2026,6,4,Inbound,316.4,3.5,,Resolved
AGT-005,Rahul Chang,July-2026,1,5,Inbound,280.7,2.4,66.7,Unresolved
AGT-023,Michael Wilson,March-2026,14,18,INBOUND,,4.3,95.9,Pending
AGT-001,Arjun Jenkins,February-2026,12,16,Inbound,232.0,4.2,96.8,Pending
AGT-015,Arjun Nair,April-2026,8,11,Inbound,273.0,4.7,89.3,Resolved
AGT-005,Rahul Chang,April-2026,13,2,Inbound,269.0,2.0,72.5,Escalated
AGT-013,Rahul Wilson,May-2026,7,25,Inbound,247.4,4.7,88.6,Resolved
AGT-013,Rahul Wilson,April-2026,21,24,Inbound,243.4,5.0,100.0,Resolved
AGT-012,Kavya Jenkins,June-2026,26,20,Inbound,157.8,4.1,97.9,Resolved
AGT-002,Arjun Sharma,June-2026,14,23,Inbound,310.2,4.8,97.5,Resolved
AGT-019,Kavya Gupta,March-2026,10,24,Inbound,243.2,5.0,100.0,Resolved
AGT-004,Priya Nair,April-2026,19,6,Inbound,298.6,3.5,84.3,Pending
AGT-011,David Chang,March-2026,23,10,Inbound,303.6,4.9,98.9,Resolved
AGT-019,Kavya Gupta,July-2026,25,28,Inbound,208.4,4.7,89.6,Resolved
AGT-001,Arjun Jenkins,February-2026,8,16,Inbound,310.6,4.2,99.4,Resolved
AGT-010,James Iyer,June-2026,8,10,INBOUND,283.9,,75.2,Resolved
AGT-002,Arjun Sharma,March-2026,1,20,Inbound,272.5,4.6,100.0,Resolved
AGT-004,Priya Nair,April-2026,11,6,Inbound,310.6,4.4,82.5,Resolved
AGT-022,Michael Iyer,May-2026,14,22,Inbound,242.1,5.0,100.0,Resolved
AGT-023,Michael Wilson,February-2026,19,17,Inbound,217.0,4.3,93.6,Resolved
AGT-011,David Chang,May-2026,5,12,Inbound,217.1,4.0,,Unresolved
AGT-001,Arjun Jenkins,June-2026,19,20,Inbound,288.4,5.0,85.5,Resolved
AGT-001,Arjun Jenkins,March-2026,12,17,Inbound,281.1,4.4,100.0,Resolved
AGT-002,Arjun Sharma,May-2026,8,22,Inbound,228.1,3.0,96.2,Resolved
AGT-022,Michael Iyer,April-2026,12,21,Inbound,222.2,4.0,100.0,Resolved
AGT-016,Ananya Verma,April-2026,26,19,Inbound,277.8,3.8,100.0,Resolved
AGT-003,Sarah Reddy,February-2026,8,22,Inbound,227.0,4.5,90.5,Resolved
AGT-022,Michael Iyer,March-2026,14,20,Inbound,216.5,4.7,96.4,Escalated
AGT-005,Rahul Chang,July-2026,23,5,Inbound,337.2,2.0,63.1,Unresolved
AGT-018,Sarah Iyer,February-2026,26,23,Inbound,199.6,4.8,89.6,Resolved
AGT-008,Kavya Gupta,June-2026,17,12,Inbound,245.4,3.8,88.8,Unresolved
AGT-010,James Iyer,February-2026,2,6,Inbound,326.7,4.6,57.6,Resolved
AGT-011,David Chang,July-2026,19,14,Inbound,311.7,5.0,89.5,Resolved
AGT-008,Kavya Gupta,February-2026,9,8,Inbound,250.0,2.9,75.5,Resolved
AGT-018,Sarah Iyer,February-2026,25,23,Inbound,264.1,4.4,99.1,Resolved
AGT-011,David Chang,July-2026,20,14,Inbound,312.5,4.2,87.3,Resolved
AGT-008,Kavya Gupta,April-2026,17,10,Inbound,,4.1,84.9,Pending
AGT-020,Rahul Sharma,February-2026,11,9,Inbound,307.8,3.7,61.8,Resolved
AGT-002,Arjun Sharma,July-2026,12,24,Inbound,197.9,4.1,92.3,Resolved
AGT-010,James Iyer,February-2026,11,6,Inbound,296.0,3.8,77.4,Resolved
AGT-004,Priya Nair,March-2026,4,5,Inbound,285.1,3.2,86.9,Resolved
AGT-018,Sarah Iyer,April-2026,3,25,Inbound,311.4,4.2,89.7,Resolved
AGT-004,Priya Nair,May-2026,23,7,Inbound,300.7,4.2,71.1,Escalated
AGT-011,David Chang,July-2026,3,14,Inbound,194.0,4.9,87.1,Resolved
AGT-018,Sarah Iyer,April-2026,21,25,Inbound,,4.2,90.9,Resolved
AGT-003,Sarah Reddy,July-2026,24,27,Inbound,273.5,3.3,91.7,Resolved
AGT-003,Sarah Reddy,February-2026,20,22,Inbound,271.0,5.0,88.7,Resolved
AGT-022,Michael Iyer,April-2026,19,21,Inbound,276.3,,98.4,Resolved
AGT-001,Arjun Jenkins,April-2026,18,18,Inbound,306.8,4.2,95.0,Unresolved
AGT-016,Ananya Verma,June-2026,22,21,Inbound,324.7,4.2,86.4,Resolved
AGT-016,Ananya Verma,April-2026,3,19,Inbound,305.9,5.0,100.0,Pending
AGT-001,Arjun Jenkins,July-2026,13,21,Inbound,251.6,4.8,99.1,Resolved
AGT-025,Arjun Reddy,March-2026,15,23,Inbound,293.3,3.9,87.6,Escalated
AGT-014,Priya Iyer,July-2026,24,23,Inbound,276.8,5.0,100.0,Resolved
AGT-003, Sarah Reddy ,May-2026,21,25,Inbound,280.6,3.9,99.2,Resolved
AGT-001,Arjun Jenkins,February-2026,6,16,Inbound,310.9,4.7,97.4,Resolved
AGT-012,Kavya Jenkins,July-2026,22,21,Inbound,242.3,3.9,100.0,Resolved
AGT-008,Kavya Gupta,February-2026,20,8,Inbound,330.9,3.5,67.1,Resolved
AGT-025,Arjun Reddy,April-2026,3,24,Inbound,283.0,3.8,95.3,Escalated
AGT-025,Arjun Reddy,May-2026,13,25,Inbound,176.1,4.4,93.0,Resolved
AGT-005,Rahul Chang,July-2026,26,5,Inbound,310.8,3.1,66.7,Resolved
AGT-025,Arjun Reddy,March-2026,25,23,Inbound,246.5,3.5,100.0,Resolved
AGT-004,Priya Nair,May-2026,17,7,Inbound,303.4,2.9,65.8,Escalated
AGT-012,Kavya Jenkins,April-2026,5,18,Inbound,217.7,5.0,91.2,Pending
AGT-021,Ananya Gupta,July-2026,24,14,Inbound,248.8,5.0,90.4,Unresolved
AGT-006,Arjun Nair,May-2026,5,21,Inbound,265.6,3.4,90.8,Resolved
AGT-017,Neha Sharma,April-2026,13,2,Inbound,302.9,4.3,65.8,Unresolved
AGT-019,Kavya Gupta,April-2026,19,25,Inbound,237.3,4.0,85.5,Resolved
AGT-015,Arjun Nair,May-2026,24,12,Inbound,250.8,3.6,77.8,Resolved
AGT-025,Arjun Reddy,July-2026,15,27,Inbound,,5.0,91.1,Resolved
AGT-002,Arjun Sharma,February-2026,14,19,Inbound,202.4,4.1,89.2,Resolved
AGT-018,Sarah Iyer,March-2026,25,24,Inbound,255.0,4.7,100.0,Unresolved
AGT-021,Ananya Gupta,March-2026,24,10,Inbound,242.6,3.4,85.5,Escalated
AGT-010,James Iyer,April-2026,15,8,INBOUND,300.2,3.2,81.1,Escalated
AGT-020,Rahul Sharma,February-2026,25,9,Inbound,317.6,4.4,74.3,Resolved
AGT-008,Kavya Gupta,March-2026,6,9,Inbound,304.2,4.1,85.4,Resolved
AGT-007,Rahul Iyer,June-2026,17,28,INBOUND,160.5,5.0,82.8,Resolved
AGT-002,Arjun Sharma,March-2026,23,20,Inbound,202.6,5.0,91.1,Escalated
AGT-006,Arjun Nair,February-2026,15,18,Inbound,232.1,5.0,100.0,Resolved
AGT-016,Ananya Verma,March-2026,12,18,Inbound,264.8,4.8,100.0,Unresolved
AGT-020,Rahul Sharma,March-2026,2,10,Inbound,234.1,5.0,76.5,Escalated
AGT-013,Rahul Wilson,April-2026,3,24,Inbound,312.1,3.5,97.9,Resolved
AGT-009,Arjun Sharma,April-2026,6,4,Inbound,311.5,2.5,70.6,Escalated
AGT-005,Rahul Chang,March-2026,10,1,Inbound,346.8,3.5,63.4,Escalated
AGT-006,Arjun Nair,May-2026,4,21,Inbound,220.0,5.0,97.6,Pending
AGT-014,Priya Iyer,May-2026,24,21,Inbound,220.5,4.5,99.0,Resolved
AGT-022,Michael Iyer,June-2026,4,23,Inbound,262.2,5.0,92.3,Pending
AGT-024,James Reddy,June-2026,5,8,Inbound,304.9,3.9,82.7,Unresolved
AGT-014,Priya Iyer,March-2026,16,19,Inbound,220.6,5.0,97.7,Resolved
AGT-020,Rahul Sharma,April-2026,16,11,INBOUND,251.1,4.2,88.9,Resolved
AGT-013,Rahul Wilson,February-2026,2,22,Inbound,301.3,4.3,93.1,Resolved
AGT-023,Michael Wilson,May-2026,4,20,Inbound,234.8,4.9,81.4,Pending
AGT-004,Priya Nair,March-2026,5,5,INBOUND,222.3,,65.0,Escalated
AGT-018,Sarah Iyer,March-2026,15,24,Inbound,274.2,5.0,98.2,Escalated
AGT-002,Arjun Sharma,May-2026,6,22,Inbound,157.2,5.0,100.0,Resolved
AGT-010,James Iyer,July-2026,9,11,Inbound,294.3,3.3,86.4,Resolved
AGT-016,Ananya Verma,February-2026,6,17,Inbound,225.6,5.0,87.2,Resolved
AGT-017,Neha Sharma,May-2026,17,3,Inbound,283.2,2.7,74.3,Unresolved
AGT-008,Kavya Gupta,July-2026,24,13,Inbound,223.4,5.0,95.3,Resolved
AGT-025,Arjun Reddy,March-2026,1,23,Inbound,366.8,4.1,98.8,Resolved
AGT-001, Arjun Jenkins ,February-2026,10,16,Inbound,303.8,2.8,85.1,Resolved
AGT-015,Arjun Nair,March-2026,25,10,Inbound,222.6,3.2,58.9,Resolved
AGT-013,Rahul Wilson,June-2026,16,26,Inbound,228.5,4.0,97.9,Escalated
AGT-003,Sarah Reddy,July-2026,1,27,Inbound,196.2,5.0,95.3,Resolved
AGT-002, Arjun Sharma ,July-2026,11,24,Inbound,227.2,5.0,83.1,Resolved
AGT-019,Kavya Gupta,February-2026,4,23,INBOUND,305.9,4.8,,Resolved
AGT-009,Arjun Sharma,May-2026,6,5,Inbound,277.0,2.1,89.8,Resolved
AGT-001,Arjun Jenkins,March-2026,16,17,Inbound,210.1,4.0,97.2,Resolved
AGT-019,Kavya Gupta,June-2026,22,27,Inbound,263.1,5.0,90.7,Resolved
AGT-020,Rahul Sharma,February-2026,4,9,Inbound,293.3,4.4,96.4,Escalated
AGT-004,Priya Nair,July-2026,7,9,Inbound,297.8,3.0,69.0,Resolved
AGT-015,Arjun Nair,February-2026,23,9,Inbound,338.3,2.9,94.5,Escalated
AGT-001,Arjun Jenkins,April-2026,11,18,Inbound,246.1,4.7,92.2,Resolved
AGT-011,David Chang,February-2026,21,9,Inbound,287.0,4.6,82.0,Escalated
AGT-007,Rahul Iyer,July-2026,4,29,Inbound,216.6,5.0,94.6,Pending
AGT-017,Neha Sharma,July-2026,4,5,Inbound,332.7,4.0,84.2,Resolved
AGT-021,Ananya Gupta,May-2026,24,12,Inbound,366.5,4.3,86.1,Resolved
AGT-004,Priya Nair,March-2026,18,5,Inbound,312.4,,68.0,Unresolved
AGT-006,Arjun Nair,April-2026,12,20,Inbound,252.6,5.0,88.8,Resolved
AGT-006,Arjun Nair,March-2026,16,19,Inbound,255.1,4.5,79.1,Resolved
AGT-016,Ananya Verma,February-2026,12,17,Inbound,308.2,5.0,75.7,Resolved
AGT-017,Neha Sharma,July-2026,18,5,Inbound,262.7,3.2,67.9,Pending
AGT-013,Rahul Wilson,April-2026,20,24,Inbound,190.6,3.7,83.3,Resolved
AGT-002,Arjun Sharma,April-2026,17,21,Inbound,251.0,3.8,83.7,Resolved
AGT-002,Arjun Sharma,April-2026,13,21,Inbound,208.9,4.6,87.8,Resolved
AGT-004,Priya Nair,May-2026,20,7,Inbound,294.0,3.8,81.7,Resolved
AGT-009,Arjun Sharma,March-2026,7,3,Inbound,323.2,2.8,74.1,Resolved
AGT-001,Arjun Jenkins,June-2026,25,20,Inbound,196.6,5.0,90.7,Resolved
AGT-018,Sarah Iyer,April-2026,13,25,Inbound,263.6,4.9,100.0,Resolved
AGT-009,Arjun Sharma,February-2026,5,2,Inbound,403.2,1.7,72.9,Unresolved
AGT-007,Rahul Iyer,June-2026,11,28,Inbound,271.3,5.0,100.0,Resolved
AGT-021,Ananya Gupta,March-2026,15,10,Inbound,298.4,4.3,74.7,Pending
AGT-021,Ananya Gupta,April-2026,24,11,Inbound,205.0,4.8,87.7,Escalated
AGT-010,James Iyer,June-2026,25,10,Inbound,204.0,3.9,74.2,Resolved
AGT-003,Sarah Reddy,July-2026,7,27,Inbound,238.2,5.0,90.0,Resolved
AGT-004,Priya Nair,May-2026,21,7,Inbound,254.6,4.1,84.2,Pending
AGT-004,Priya Nair,July-2026,21,9,Inbound,284.8,2.8,80.6,Resolved
AGT-006,Arjun Nair,April-2026,7,20,Inbound,256.3,5.0,99.0,Resolved
AGT-003,Sarah Reddy,March-2026,20,23,Inbound,266.2,4.4,100.0,Resolved
AGT-001,Arjun Jenkins,March-2026,11,17,Inbound,223.2,4.9,100.0,Resolved
AGT-010,James Iyer,May-2026,5,9,Inbound,319.7,4.1,79.4,Resolved
AGT-022,Michael Iyer,July-2026,22,24,Inbound,175.1,4.0,100.0,Resolved
AGT-001, Arjun Jenkins ,May-2026,6,19,Inbound,204.1,5.0,99.9,Resolved
AGT-022,Michael Iyer,June-2026,24,23,Inbound,233.7,4.6,90.6,Resolved
AGT-025,Arjun Reddy,March-2026,26,23,Inbound,257.1,,91.5,Pending
AGT-021,Ananya Gupta,June-2026,16,13,Inbound,221.7,3.7,74.8,Escalated
AGT-007,Rahul Iyer,June-2026,23,28,Inbound,257.0,3.7,97.5,Resolved
AGT-016,Ananya Verma,May-2026,6,20,Inbound,229.6,5.0,86.2,Resolved
AGT-013,Rahul Wilson,May-2026,10,25,Inbound,216.6,4.6,100.0,Resolved
AGT-004,Priya Nair,May-2026,10,7,Inbound,388.6,2.7,76.6,Resolved
AGT-017,Neha Sharma,July-2026,3,5,Inbound,323.8,3.7,73.8,Resolved
AGT-019,Kavya Gupta,June-2026,26,27,Inbound,263.0,5.0,98.6,Resolved
AGT-004,Priya Nair,March-2026,21,5,Inbound,307.4,3.1,77.9,Resolved
AGT-019,Kavya Gupta,March-2026,22,24,Inbound,299.6,4.8,93.0,Escalated
AGT-012,Kavya Jenkins,June-2026,20,20,Inbound,214.9,5.0,95.4,Resolved
AGT-017,Neha Sharma,February-2026,6,0,Inbound,297.5,2.9,66.8,Resolved
AGT-018,Sarah Iyer,March-2026,3,24,INBOUND,260.0,,100.0,Resolved
AGT-024,James Reddy,April-2026,24,6,Inbound,329.9,3.6,71.6,Unresolved
AGT-010,James Iyer,July-2026,4,11,Inbound,314.6,2.8,65.3,Resolved
AGT-015,Arjun Nair,February-2026,25,9,Inbound,224.9,4.4,85.5,Resolved
AGT-016,Ananya Verma,May-2026,23,20,Inbound,216.4,4.4,91.4,Resolved
AGT-010,James Iyer,June-2026,12,10,Inbound,287.6,3.2,90.7,Resolved
AGT-001,Arjun Jenkins,June-2026,13,20,Inbound,178.4,3.3,94.5,Resolved
AGT-019,Kavya Gupta,February-2026,1,23,Inbound,237.1,5.0,91.3,Resolved
AGT-003,Sarah Reddy,June-2026,15,26,Inbound,208.0,5.0,,Unresolved
AGT-024,James Reddy,February-2026,18,4,Inbound,375.5,3.8,75.4,Unresolved
AGT-014,Priya Iyer,April-2026,16,20,Inbound,277.8,4.7,100.0,Resolved
AGT-022,Michael Iyer,May-2026,19,22,Inbound,256.8,4.3,,Resolved
AGT-015,Arjun Nair,March-2026,15,10,Inbound,244.4,4.7,73.5,Resolved
AGT-014,Priya Iyer,June-2026,16,22,Inbound,273.3,5.0,91.2,Resolved
AGT-011,David Chang,June-2026,22,13,Inbound,185.4,4.5,81.1,Escalated
AGT-017,Neha Sharma,May-2026,24,3,Inbound,353.2,3.9,69.4,Escalated
AGT-019,Kavya Gupta,March-2026,4,24,INBOUND,230.2,4.4,100.0,Resolved
AGT-024,James Reddy,March-2026,16,5,Inbound,282.8,3.4,60.4,Resolved
AGT-017,Neha Sharma,April-2026,20,2,Inbound,313.2,2.5,76.8,Escalated
